Date,Surface,Round,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,tournament_type,prob_1,prob_2,target,elo_p1,elo_p2,elo_diff,elo_global_p1,elo_global_p2,elo_global_diff
2007-01-01,Hard,1st Round,Groenefeld A.L.,Garbin T.,Garbin T.,19,38,922,529,1.72,2.0,6-7 7-6 3-6,WTA250_o_menor,0.5376344086021505,0.4623655913978494,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Ivanovic A.,Vinci R.,Ivanovic A.,14,85,1053,324,1.19,4.0,7-5 6-1 ,WTA250_o_menor,0.770712909441233,0.2292870905587668,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Bovina E.,Pratt N.,Pratt N.,1431,77,2,344,2.25,1.57,2-6 7-6 1-6,WTA250_o_menor,0.4109947643979057,0.5890052356020942,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Kirilenko M.,Pennetta F.,Kirilenko M.,30,28,637,692,2.37,1.53,6-1 6-2 ,WTA250_o_menor,0.3923076923076922,0.6076923076923076,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Peng S.,Stosur S.,Stosur S.,55,29,419,685,2.62,1.44,7-5 2-6 1-6,WTA250_o_menor,0.354679802955665,0.645320197044335,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Safina D.,Likhovtseva E.,Safina D.,11,43,1390,462,1.28,3.25,6-3 6-2 ,WTA250_o_menor,0.717439293598234,0.282560706401766,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,2nd Round,Li N.,Castano C.,Castano C.,21,54,875,420,1.19,4.0,4-6 6-1 2-6,WTA250_o_menor,0.770712909441233,0.2292870905587668,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-02,Hard,2nd Round,Garbin T.,Bremond S.,Garbin T.,38,40,529,521,1.9,1.8,6-3 6-1 ,WTA250_o_menor,0.4864864864864864,0.5135135135135135,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-02,Hard,2nd Round,Srebotnik K.,Vesnina E.,Vesnina E.,23,47,819,445,1.5,2.5,3-6 2-6 ,WTA250_o_menor,0.625,0.375,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-02,Hard,2nd Round,Hingis M.,Pratt N.,Hingis M.,7,77,2018,344,1.04,9.0,6-0 6-1 ,WTA250_o_menor,0.896414342629482,0.1035856573705179,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Poutchkova O.,Peer S.,Peer S.,39,20,525,894,3.25,1.28,3-6 2-6 ,WTA250_o_menor,0.282560706401766,0.717439293598234,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Ivanovic A.,Sequera M.,Ivanovic A.,14,103,1053,280,1.1,6.0,6-1 6-2 ,WTA250_o_menor,0.8450704225352113,0.1549295774647887,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Kirilenko M.,Safina D.,Safina D.,30,11,637,1390,2.75,1.39,2-6 5-7 ,WTA250_o_menor,0.3357487922705314,0.6642512077294687,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Stosur S.,Ferguson S.,Stosur S.,29,184,685,146,1.12,5.5,6-3 6-4 ,WTA250_o_menor,0.8308157099697885,0.1691842900302115,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-04,Hard,Quarterfinals,Vesnina E.,Garbin T.,Garbin T.,47,38,445,529,1.53,2.37,5-7 2-6 ,WTA250_o_menor,0.6076923076923076,0.3923076923076922,0,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-04,Hard,Quarterfinals,Peer S.,Ivanovic A.,Peer S.,20,14,894,1053,2.37,1.53,5-7 6-4 6-4,WTA250_o_menor,0.3923076923076922,0.6076923076923076,1,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-04,Hard,Quarterfinals,Stosur S.,Safina D.,Safina D.,29,11,685,1390,2.37,1.53,6-7 3-6 ,WTA250_o_menor,0.3923076923076922,0.6076923076923076,0,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-04,Hard,Quarterfinals,Hingis M.,Castano C.,Hingis M.,7,54,2018,420,1.04,9.0,6-3 6-1 ,WTA250_o_menor,0.896414342629482,0.1035856573705179,1,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-05,Hard,Semifinals,Peer S.,Safina D.,Safina D.,20,11,894,1390,2.25,1.57,6-4 6-7 1-6,WTA250_o_menor,0.4109947643979057,0.5890052356020942,0,1548.0,1548.0,0.0,1548.0,1548.0,0.0
2007-01-06,Hard,The Final,Safina D.,Hingis M.,Safina D.,11,7,1390,2018,3.0,1.36,6-3 3-6 7-5,WTA250_o_menor,0.3119266055045871,0.6880733944954128,1,1564.0,1548.0,16.0,1564.0,1548.0,16.0
2007-01-07,Hard,1st Round,Dominguez Lino L.,Chakvetadze A.,Chakvetadze A.,51,13,421,1144,5.816666666666667,1.1485,0-6 4-6 ,WTA250_o_menor,0.1648919623842454,0.8351080376157547,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Oprandi R.,Likhovtseva E.,Oprandi R.,52,44,421,451,2.88,1.4325,7-6 6-1 ,WTA250_o_menor,0.3321739130434782,0.6678260869565217,1,1484.0,1484.0,0.0,1484.0,1484.0,0.0
2007-01-08,Hard,1st Round,Vinci R.,Castano C.,Castano C.,83,46,331,449,1.72,2.0,3-6 4-6 ,WTA250_o_menor,0.5376344086021505,0.4623655913978494,0,1484.0,1516.0,-32.0,1484.0,1516.0,-32.0
2007-01-08,Hard,1st Round,Bremond S.,Krajicek M.,Bremond S.,38,37,537,542,2.62,1.44,3-6 6-1 6-0,WTA250_o_menor,0.354679802955665,0.645320197044335,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Camerin M.E.,Santangelo M.,Santangelo M.,50,30,426,611,2.25,1.57,5-7 6-2 3-6,WTA250_o_menor,0.4109947643979057,0.5890052356020942,0,1484.0,1500.0,-16.0,1484.0,1500.0,-16.0
2007-01-08,Hard,1st Round,Mirza S.,Kirilenko M.,Mirza S.,66,29,382,633,1.83,1.83,6-4 6-4 ,WTA250_o_menor,0.5,0.5,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Muller M.,Safarova L.,Safarova L.,36,74,545,356,2.37,1.53,6-7 2-6 ,WTA250_o_menor,0.3923076923076922,0.6076923076923076,0,1484.0,1500.0,-16.0,1484.0,1500.0,-16.0
2007-01-08,Hard,1st Round,Bammer S.,Harkleroad A.,Bammer S.,56,87,415,320,2.0,1.72,7-6 6-1 ,WTA250_o_menor,0.4623655913978494,0.5376344086021505,1,1484.0,1500.0,-16.0,1484.0,1500.0,-16.0
2007-01-08,Hard,1st Round,Vesnina E.,Medina Garrigues A.,Medina Garrigues A.,42,28,469,684,2.0,1.72,1-6 3-6 ,WTA250_o_menor,0.4623655913978494,0.5376344086021505,0,1516.0,1500.0,16.0,1516.0,1500.0,16.0
2007-01-08,Hard,1st Round,Molik A.,Kostanic J.,Molik A.,165,53,169,420,1.33,3.0,4-6 6-1 6-2,WTA250_o_menor,0.6928406466512702,0.3071593533487298,1,1500.0,1484.0,16.0,1500.0,1484.0,16.0
2007-01-08,Hard,1st Round,Moore J.,Bondarenko A.,Bondarenko A.,992,32,6,585,7.0,1.07,2-6 6-7 ,WTA250_o_menor,0.1325898389095415,0.8674101610904584,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Zheng J.,Foretz S.,Zheng J.,34,111,560,266,1.481,2.88,6-2 6-2 ,WTA250_o_menor,0.660398991057097,0.339601008942903,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Dulko G.,Bardina V.,Bardina V.,55,70,415,365,,,1-6 3-6 ,WTA250_o_menor,,,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Nakamura A.,Pennetta F.,Nakamura A.,64,31,390,608,,,7-5 7-5 ,WTA250_o_menor,,,1,1484.0,1484.0,0.0,1484.0,1484.0,0.0
2007-01-08,Hard,1st Round,Arvidsson S.,Williams S.,Williams S.,60,94,395,301,5.0,1.12,4-6 0-6 ,WTA250_o_menor,0.1830065359477124,0.8169934640522876,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-09,Hard,1st Round,Poutchkova O.,Obziler T.,Poutchkova O.,39,123,533,237,1.57,2.25,0-6 6-2 7-6,WTA250_o_menor,0.5890052356020942,0.4109947643979057,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-09,Hard,2nd Round,Bremond S.,Zheng J.,Zheng J.,38,34,537,560,2.62,1.44,1-6 3-6 ,WTA250_o_menor,0.354679802955665,0.645320197044335,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-09,Hard,2nd Round,Castano C.,Santangelo M.,Castano C.,46,30,449,611,2.1,1.66,6-3 6-2 ,WTA250_o_menor,0.4414893617021276,0.5585106382978724,1,1530.5304984710244,1515.263693206478,15.26680526454652,1530.5304984710244,1515.263693206478,15.26680526454652
2007-01-09,Hard,2nd Round,Medina Garrigues A.,Bammer S.,Bammer S.,28,56,684,415,1.39,2.75,4-6 3-6 ,WTA250_o_menor,0.6642512077294687,0.3357487922705314,0,1516.736306793522,1500.736306793522,16.0,1516.736306793522,1500.736306793522,16.0
2007-01-09,Hard,2nd Round,Williams S.,Safarova L.,Williams S.,94,74,301,356,1.19,4.0,6-3 3-6 7-6,WTA250_o_menor,0.770712909441233,0.2292870905587668,1,1516.0,1515.263693206478,0.7363067935220897,1516.0,1515.263693206478,0.7363067935220897
2007-01-09,Hard,2nd Round,Nakamura A.,Bardina V.,Bardina V.,64,70,390,365,1.83,1.83,4-6 4-6 ,WTA250_o_menor,0.5,0.5,0,1500.0,1516.0,-16.0,1500.0,1516.0,-16.0
2007-01-09,Hard,2nd Round,Chakvetadze A.,Poutchkova O.,Chakvetadze A.,13,39,1144,533,,,7-6 7-5 ,WTA250_o_menor,,,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-09,Hard,2nd Round,Oprandi R.,Mirza S.,Mirza S.,52,66,421,382,3.0,1.36,7-6 3-6 0-6,WTA250_o_menor,0.3119266055045871,0.6880733944954128,0,1500.0,1516.0,-16.0,1500.0,1516.0,-16.0
2007-01-09,Hard,2nd Round,Molik A.,Bondarenko A.,Molik A.,165,32,169,585,1.72,2.0,6-3 7-5 ,WTA250_o_menor,0.5376344086021505,0.4623655913978494,1,1515.263693206478,1516.0,-0.7363067935220897,1515.263693206478,1516.0,-0.7363067935220897
2007-01-10,Hard,Quarterfinals,Castano C.,Bardina V.,Bardina V.,46,70,449,365,1.66,2.1,6-3 2-6 5-7,WTA250_o_menor,0.5585106382978724,0.4414893617021276,0,1545.8278882592376,1531.263693206478,14.564195052759715,1545.8278882592376,1531.263693206478,14.564195052759715
2007-01-10,Hard,Quarterfinals,Mirza S.,Molik A.,Mirza S.,66,165,382,169,1.83,1.83,6-4 6-1 ,WTA250_o_menor,0.5,0.5,1,1531.263693206478,1531.2976013366472,-0.03390813016926586,1531.263693206478,1531.2976013366472,-0.03390813016926586
2007-01-10,Hard,Quarterfinals,Zheng J.,Chakvetadze A.,Chakvetadze A.,34,13,560,1144,2.75,1.39,6-4 1-6 1-6,WTA250_o_menor,0.3357487922705314,0.6642512077294687,0,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-10,Hard,Quarterfinals,Bammer S.,Williams S.,Bammer S.,56,94,415,301,5.0,1.14,3-6 7-5 6-3,WTA250_o_menor,0.1856677524429967,0.8143322475570033,1,1517.4726135870442,1531.9660918698307,-14.493478282786555,1517.4726135870442,1531.9660918698307,-14.493478282786555
2007-01-11,Hard,Semifinals,Bammer S.,Bardina V.,Bardina V.,56,70,415,365,1.8,1.9,3-6 1-6 ,WTA250_o_menor,0.5135135135135135,0.4864864864864864,0,1534.1396760342666,1547.9340065930933,-13.794330558826687,1534.1396760342666,1547.9340065930933,-13.794330558826687
2007-01-11,Hard,Semifinals,Chakvetadze A.,Mirza S.,Chakvetadze A.,13,66,1144,382,1.39,2.75,6-4 6-1 ,WTA250_o_menor,0.6642512077294687,0.3357487922705314,1,1548.0,1547.2652547335742,0.7347452664257617,1548.0,1547.2652547335742,0.7347452664257617
2007-01-12,Hard,The Final,Bardina V.,Chakvetadze A.,Chakvetadze A.,70,13,365,1144,3.5,1.25,3-6 6-7 ,WTA250_o_menor,0.263157894736842,0.7368421052631579,0,1563.2990877778861,1563.9661637804888,-0.6670760026026983,1563.2990877778861,1563.9661637804888,-0.6670760026026983
2007-01-07,Hard,1st Round,Ivanovic A.,Dellacqua C.,Ivanovic A.,14,159,1087,175,1.0655,9.313333333333334,6-3 6-4 ,WTA250_o_menor,0.8973391357410114,0.1026608642589886,1,1516.0,1500.0,16.0,1516.0,1500.0,16.0
2007-01-07,Hard,1st Round,Schiavone F.,Li N.,Li N.,15,21,1032,879,1.7595,2.1,4-6 5-7 ,WTA250_o_menor,0.5441119315973572,0.4558880684026428,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-07,Hard,1st Round,Peer S.,Groenefeld A.L.,Peer S.,18,19,934,922,1.3076666666666668,3.51,6-4 6-2 ,WTA250_o_menor,0.7285684632948177,0.2714315367051823,1,1532.0,1484.0,48.0,1532.0,1484.0,48.0
2007-01-07,Hard,1st Round,Hantuchova D.,Vaidisova N.,Vaidisova N.,17,11,968,1391,2.565,1.514,1-6 4-6 ,WTA250_o_menor,0.3711694042657514,0.6288305957342486,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Stosur S.,Zvonareva V.,Stosur S.,27,24,704,794,2.25,1.57,6-1 6-4 ,WTA250_o_menor,0.4109947643979057,0.5890052356020942,1,1516.0,1532.7023986633528,-16.702398663352824,1516.0,1532.7023986633528,-16.702398663352824
2007-01-08,Hard,1st Round,Peng S.,Golovin T.,Golovin T.,54,22,419,828,2.5,1.44,4-6 5-7 ,WTA250_o_menor,0.365482233502538,0.6345177664974618,0,1484.0,1500.0,-16.0,1484.0,1500.0,-16.0
2007-01-08,Hard,1st Round,Fedak Y.,Bartoli M.,Fedak Y.,82,20,338,881,3.25,1.3,7-6 6-2 ,WTA250_o_menor,0.2857142857142857,0.7142857142857143,1,1484.0,1500.0,-16.0,1484.0,1500.0,-16.0
2007-01-08,Hard,1st Round,Dushevina V.,Schnyder P.,Schnyder P.,101,9,288,1578,3.75,1.22,3-6 6-4 3-6,WTA250_o_menor,0.2454728370221328,0.7545271629778673,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-08,Hard,1st Round,Srebotnik K.,Bovina E.,Srebotnik K.,23,1323,825,3,1.19,4.0,6-3 6-1 ,WTA250_o_menor,0.770712909441233,0.2292870905587668,1,1500.0,1484.0,16.0,1500.0,1484.0,16.0
2007-01-08,Hard,1st Round,Hingis M.,Jankovic J.,Jankovic J.,7,12,2063,1296,1.83,1.83,4-6 6-4 3-6,WTA250_o_menor,0.5,0.5,0,1532.736306793522,1564.0339081301693,-31.297601336647176,1532.736306793522,1564.0339081301693,-31.297601336647176
2007-01-08,Hard,1st Round,Dementieva E.,Sugiyama A.,Dementieva E.,8,26,1875,716,1.28,3.25,6-7 7-6 6-0,WTA250_o_menor,0.717439293598234,0.282560706401766,1,1500.0,1484.0,16.0,1500.0,1484.0,16.0
2007-01-08,Hard,1st Round,Safina D.,Pratt N.,Pratt N.,10,72,1475,363,1.07,7.0,6-4 3-6 2-6,WTA250_o_menor,0.8674101610904584,0.1325898389095415,0,1579.263693206478,1500.0,79.26369320647791,1579.263693206478,1500.0,79.26369320647791
2007-01-09,Hard,2nd Round,Jankovic J.,Stosur S.,Jankovic J.,12,27,1296,704,1.44,2.62,6-2 7-6 ,WTA250_o_menor,0.645320197044335,0.354679802955665,1,1578.5964863143345,1532.7685818980626,45.82790441627185,1578.5964863143345,1532.7685818980626,45.82790441627185
2007-01-09,Hard,2nd Round,Golovin T.,Mauresmo A.,Mauresmo A.,22,3,828,3391,3.25,1.28,7-6 5-7 1-6,WTA250_o_menor,0.282560706401766,0.717439293598234,0,1515.263693206478,1500.0,15.26369320647791,1515.263693206478,1500.0,15.26369320647791
2007-01-09,Hard,2nd Round,Peer S.,Schnyder P.,Peer S.,18,9,934,1578,2.1,1.66,7-6 6-2 ,WTA250_o_menor,0.4414893617021276,0.5585106382978724,1,1545.8034754597227,1516.0,29.803475459722677,1545.8034754597227,1516.0,29.803475459722677
2007-01-09,Hard,2nd Round,Dementieva E.,Li N.,Li N.,8,21,1875,879,1.39,2.75,6-3 1-6 5-7,WTA250_o_menor,0.6642512077294687,0.3357487922705314,0,1515.263693206478,1516.0,-0.7363067935220897,1515.263693206478,1516.0,-0.7363067935220897
2007-01-09,Hard,2nd Round,Clijsters K.,Pratt N.,Clijsters K.,5,72,2215,363,1.04,8.5,6-1 6-2 ,WTA250_o_menor,0.8909853249475891,0.1090146750524109,1,1500.0,1519.5881907679347,-19.588190767934748,1500.0,1519.5881907679347,-19.588190767934748
2007-01-09,Hard,2nd Round,Fedak Y.,Vaidisova N.,Vaidisova N.,82,11,338,1391,6.0,1.1,3-6 1-6 ,WTA250_o_menor,0.1549295774647887,0.8450704225352113,0,1500.736306793522,1516.0,-15.26369320647791,1500.736306793522,1516.0,-15.26369320647791
